id,name,genreisnongame,genreisindie,genreisaction,genreisadventure,genreiscasual,genreisstrategy,genreisrpg,genreissimulation,genreisearlyaccess,genreisfreetoplay,genreissports,genreisracing,genreismassivelymultiplayer
229,Railroad Tycoon 3,false,false,false,false,false,true,false,false,false,false,false,false,false
230,Railroad Tycoon 2: Platinum,false,false,false,false,false,true,false,false,false,false,false,false,false
231,X-COM: Terror from the Deep,false,false,false,false,false,true,false,false,false,false,false,false,false
232,X-COM: Apocalypse,false,false,false,false,false,true,false,false,false,false,false,false,false
233,BioShock,false,false,true,false,false,false,true,false,false,false,false,false,false
234,X-COM: Interceptor,false,false,false,false,false,true,false,false,false,false,false,false,false
235,X-COM: UFO Defense,false,false,false,false,false,true,false,false,false,false,false,false,false
236,X-COM: Enforcer,false,false,false,false,false,true,false,false,false,false,false,false,false
237,Men of War,false,false,false,false,false,true,false,false,false,false,false,false,false
238,Death Track: Resurrection,false,false,false,false,false,false,false,false,false,false,false,true,false
239,NecroVisioN,false,false,true,false,false,false,false,false,false,false,false,false,false
240,Call of Duty 4: Modern Warfare,false,false,true,false,false,false,false,false,false,false,false,false,false
241,Cabelas Trophy Bucks,false,false,false,false,false,false,false,false,false,false,true,false,false
242,Tomb Raider: Anniversary,false,false,true,true,false,false,false,false,false,false,false,false,false
243,Kane & Lynch: Dead Men,false,false,true,false,false,false,false,false,false,false,false,false,false
244,Conflict: Denied Ops,false,false,true,false,false,false,false,false,false,false,false,false,false
245,Tomb Raider: Underworld,false,false,true,true,false,false,false,false,false,false,false,false,false
246,Battlestations: Pacific,false,false,true,false,false,true,false,false,false,false,false,false,false
247,Just Cause 2,false,false,true,true,false,false,false,false,false,false,false,false,false
248,Sam & Max 101: Culture Shock,false,false,true,true,false,false,false,false,false,false,false,false,false
249,Sam & Max 102: Situation: Comedy,false,false,true,true,false,false,false,false,false,false,false,false,false
250,"Sam & Max 103: The Mole, the Mob and the Meatball",false,false,true,true,false,false,false,false,false,false,false,false,false
251,Sam & Max 104: Abe Lincoln Must Die!,false,false,true,true,false,false,false,false,false,false,false,false,false
252,Sam & Max 105: Reality 2.0,false,false,true,true,false,false,false,false,false,false,false,false,false
253,Sam & Max 106: Bright Side of the Moon,false,false,true,true,false,false,false,false,false,false,false,false,false
254,Sam & Max 201: Ice Station Santa,false,false,false,true,false,false,false,false,false,false,false,false,false
255,Sam & Max 202: Moai Better Blues,false,false,false,true,false,false,false,false,false,false,false,false,false
256,Sam & Max 203: Night of the Raving Dead,false,false,false,true,false,false,false,false,false,false,false,false,false
257,Sam & Max 204: Chariots of the Dogs,false,false,false,true,false,false,false,false,false,false,false,false,false
258,Sam & Max 205: What's New Beelzebub?,false,false,false,true,false,false,false,false,false,false,false,false,false
259,Bone: Out from Boneville,false,false,false,true,false,false,false,false,false,false,false,false,false
260,Bone: The Great Cow Race,false,false,false,true,false,false,false,false,false,false,false,false,false
261,Telltale Texas Hold'Em,false,false,false,false,true,false,false,false,false,false,false,false,false
